Object Name,ESX Cluster,Datastore
linux-minimal-0141,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0142,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0143,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0144,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0145,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0146,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0147,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0148,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0149,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0150,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0151,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0152,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0153,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0154,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0155,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0156,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0157,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0158,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0159,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0160,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0161,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0162,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0163,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0164,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0165,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0166,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0167,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0168,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0169,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0170,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0171,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0172,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0173,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0174,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0175,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0176,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0177,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0178,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0179,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0180,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0181,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0182,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0183,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0184,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0185,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0186,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0187,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0188,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0189,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0190,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0191,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0192,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0193,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0194,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0195,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0196,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0197,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0198,poc01-67-cluster02,PURE-DS1-10TB
linux-minimal-0199,poc01-67-cluster02,PURE-DS1-10TB
